Date,AA_arr_delay,AS_arr_delay,B6_arr_delay,DL_arr_delay,EV_arr_delay,F9_arr_delay,FL_arr_delay,HA_arr_delay,MQ_arr_delay,OO_arr_delay,UA_arr_delay,US_arr_delay,VX_arr_delay,WN_arr_delay,ArrDelay,AA_dept_delay,AS_dept_delay,B6_dept_delay,DL_dept_delay,EV_dept_delay,F9_dept_delay,FL_dept_delay,HA_dept_delay,MQ_dept_delay,OO_dept_delay,UA_dept_delay,US_dept_delay,VX_dept_delay,WN_dept_delay,DeptDelay,TotalCancel
2014-02-27,547,134,445,844,976,136,129,65,323,812,685,512,118,1670,7396,586,103,372,829,943,128,130,41,246,660,811,414,123,1952,7338,184
2014-02-28,566,178,312,800,888,131,96,104,318,961,711,452,129,1866,7512,589,158,332,879,893,111,118,62,231,812,881,398,124,2103,7691,349
2014-03-01,643,135,290,563,594,110,82,89,517,820,664,415,64,1551,6537,665,134,283,524,609,89,107,52,440,679,776,371,68,1752,6549,406
2014-03-02,611,140,283,917,953,145,93,105,535,1053,754,433,86,1636,7744,603,115,297,940,928,115,108,68,463,938,900,400,81,1805,7761,1579
2014-03-03,710,134,164,1051,1064,148,130,71,657,748,618,425,42,1304,7266,739,107,140,1013,1043,126,138,28,607,612,760,343,41,1648,7345,1938
2014-03-04,493,107,228,750,912,76,102,43,444,665,519,381,58,1246,6024,514,75,234,739,900,57,121,23,380,526,667,331,55,1681,6303,644
2014-03-05,666,130,331,793,994,133,127,47,553,702,611,416,54,1575,7132,629,68,267,748,959,106,142,21,422,568,685,315,40,1862,6832,399
2014-03-06,692,123,355,1156,1046,102,168,60,576,707,559,528,38,1474,7584,630,95,297,997,996,82,160,30,431,570,703,381,31,1800,7203,179
2014-03-07,508,96,270,866,883,157,126,125,463,698,495,578,37,1351,6653,517,68,253,909,861,131,153,76,335,540,668,474,49,1768,6802,217
2014-03-08,524,89,173,639,670,58,140,108,495,599,463,358,28,1443,5787,500,71,176,603,635,45,154,63,380,480,611,291,36,1619,5664,122
2014-03-09,533,133,200,541,718,58,71,60,471,653,433,419,36,1508,5834,563,94,241,615,730,46,96,36,362,556,668,364,38,1743,6152,125
2014-03-10,436,119,302,552,585,45,93,27,317,533,357,309,19,1243,4937,455,74,274,578,645,34,126,15,266,390,556,269,25,1650,5357,89
2014-03-11,428,111,100,434,499,126,56,40,378,558,327,240,18,1450,4765,412,68,106,466,476,95,70,19,280,404,442,188,21,1737,4784,155
2014-03-12,701,163,208,1019,915,89,141,61,602,714,604,430,45,1693,7385,663,105,193,921,803,79,127,25,480,571,728,333,47,1930,7005,943
2014-03-13,565,142,412,861,952,85,136,80,528,620,569,516,37,1809,7312,548,126,374,948,904,67,144,39,418,478,799,453,49,2116,7463,286
2014-03-14,489,164,224,674,737,66,89,117,445,600,514,420,52,1687,6278,468,133,228,761,746,63,121,90,340,474,770,362,54,2086,6696,103
2014-03-15,565,130,167,537,568,35,110,128,363,538,422,332,13,1339,5247,500,114,161,554,564,37,127,104,242,371,589,302,23,1647,5335,101
2014-03-16,681,168,281,960,1133,75,144,45,639,638,576,482,37,1726,7585,585,112,247,880,1033,54,134,31,478,466,693,384,54,1915,7066,199
2014-03-17,672,186,356,1255,1181,168,214,62,502,762,703,730,46,2169,9006,613,145,301,1131,1124,155,193,37,386,588,830,633,41,2298,8475,449
2014-03-18,525,130,241,755,826,187,120,28,476,701,482,447,10,2090,7018,436,105,231,709,777,155,114,18,311,552,649,361,14,2215,6647,118
2014-03-19,539,112,246,947,868,91,137,63,498,618,427,484,20,1855,6905,469,78,228,807,717,64,126,29,341,468,555,342,20,2067,6311,119
2014-03-20,495,140,293,727,725,81,132,59,513,566,433,406,42,1886,6498,481,105,265,752,698,76,151,35,387,401,626,329,47,2157,6510,65
2014-03-21,474,104,243,654,672,99,85,98,490,570,506,351,40,1836,6222,424,81,218,641,653,81,92,59,325,399,646,290,32,2030,5971,60
2014-03-22,498,99,235,536,461,65,123,88,283,601,396,323,36,1565,5309,429,81,218,476,446,40,139,58,193,450,514,315,32,1742,5133,45
2014-03-23,526,102,219,663,832,93,102,74,456,618,487,415,47,1673,6307,499,71,193,628,766,66,109,53,321,507,631,311,49,1813,6017,62
2014-03-24,511,90,197,767,835,99,139,54,421,633,432,382,42,1822,6424,471,62,176,699,785,76,132,31,280,468,619,288,31,2090,6208,69
2014-03-25,446,150,254,782,749,89,141,48,411,656,476,473,77,1911,6663,366,104,201,681,662,61,113,38,296,502,584,332,68,2002,6010,155
2014-03-26,545,146,253,784,705,98,106,31,446,818,534,426,85,1812,6789,451,118,191,707,659,79,93,17,310,645,664,309,73,1962,6278,210
2014-03-27,655,146,219,828,805,88,106,25,599,828,495,388,38,1966,7186,521,115,198,821,745,73,122,13,392,613,645,326,37,2193,6814,214
2014-03-28,710,146,322,1012,999,114,154,67,638,671,574,483,57,1931,7878,563,89,290,988,890,91,151,34,470,497,667,388,51,2090,7259,143
2014-03-29,681,144,353,908,696,67,188,52,361,642,622,460,67,1795,7036,575,104,306,783,680,57,176,25,245,523,705,389,65,1960,6593,151
2014-03-30,522,126,417,880,807,93,133,33,384,670,573,533,50,1868,7089,501,92,371,867,814,78,136,15,292,546,738,453,51,2032,6986,183
2014-03-31,568,155,401,682,782,125,122,52,504,660,589,493,105,1840,7078,516,124,353,723,806,98,119,22,375,493,758,406,102,2058,6953,320
2014-04-01,319,131,132,625,512,110,58,46,349,761,510,289,97,1634,5573,322,107,152,505,495,81,63,14,247,587,614,255,97,1787,5326,244
2014-04-02,408,139,212,564,600,116,51,34,364,716,480,323,38,1659,5704,368,101,173,508,507,93,65,14,233,521,579,256,32,1757,5207,119
2014-04-03,852,138,146,999,1024,185,110,64,672,854,688,495,58,2144,8429,736,93,127,902,948,157,119,39,558,671,800,429,54,2292,7925,390
2014-04-04,732,126,324,1064,1102,149,113,43,722,861,598,521,75,2087,8517,686,88,266,1013,1055,132,125,25,604,690,759,421,80,2295,8239,271
2014-04-05,309,133,196,466,380,50,97,55,265,497,271,306,27,1267,4319,315,87,154,497,375,39,126,34,205,372,443,281,32,1478,4438,48
2014-04-06,877,152,252,792,927,104,123,89,604,572,477,398,40,1773,7180,783,98,185,705,804,91,115,79,477,416,607,320,57,1897,6634,211
2014-04-07,662,114,320,1438,1185,126,216,39,684,583,592,630,43,1797,8429,558,74,250,1259,1078,103,186,22,558,447,675,462,46,2002,7720,277
2014-04-08,463,127,462,725,846,73,121,33,477,501,446,435,32,1608,6349,365,82,366,741,762,50,118,13,328,372,521,326,35,1837,5916,105
2014-04-09,287,133,257,495,620,72,63,49,302,470,365,300,34,1463,4910,299,97,218,531,612,55,97,20,202,364,526,261,38,1847,5167,96
2014-04-10,400,138,270,574,544,78,53,40,346,641,396,338,48,1649,5515,441,93,240,661,514,65,88,10,268,563,599,314,51,2040,5947,99
2014-04-11,404,163,294,594,551,77,60,54,345,580,359,370,59,1663,5573,402,108,247,628,566,65,74,30,256,504,584,336,58,2062,5920,84
2014-04-12,240,84,161,424,310,48,42,84,246,409,244,253,13,931,3489,252,54,164,434,333,44,61,50,204,320,433,248,23,1254,3874,51
2014-04-13,699,122,271,596,724,165,54,58,609,810,535,352,44,1695,6734,558,86,239,599,700,132,73,41,448,656,634,313,63,1853,6395,125
2014-04-14,745,119,272,843,1063,141,93,37,715,854,616,398,58,1916,7870,617,96,240,818,983,125,111,15,567,744,729,295,52,2167,7559,350
2014-04-15,520,104,488,1247,924,78,180,22,598,628,570,600,64,2012,8035,473,66,397,1103,811,61,175,9,472,482,641,439,52,2148,7329,453
2014-04-16,415,116,417,824,769,99,78,51,457,590,448,437,31,1679,6411,393,63,394,819,728,88,109,25,331,423,582,361,28,2014,6358,190
2014-04-17,499,156,313,636,750,93,84,50,448,671,413,447,54,1801,6415,430,81,275,616,734,68,117,25,315,465,552,361,46,2157,6242,116
2014-04-18,369,91,290,770,773,55,129,66,445,551,372,418,26,1490,5845,320,49,253,635,712,46,131,39,293,421,540,303,29,1821,5592,69
2014-04-19,264,103,228,416,379,35,72,31,193,333,240,302,24,754,3374,254,49,188,320,371,26,83,15,140,243,359,247,21,1022,3338,36
2014-04-20,388,57,168,408,394,39,32,62,287,332,227,278,26,790,3488,324,26,153,362,450,31,54,26,211,283,401,215,25,1060,3621,103
2014-04-21,464,142,196,467,569,88,62,105,457,548,291,270,32,1510,5201,400,53,149,541,578,67,97,53,367,408,486,230,28,1901,5358,97
2014-04-22,316,128,168,582,502,54,72,42,393,590,337,295,43,1291,4813,322,71,153,516,439,36,84,19,286,382,437,239,32,1687,4703,61
2014-04-23,369,104,310,602,557,114,72,56,350,529,407,338,34,1554,5396,355,63,267,573,499,84,92,27,222,364,507,281,37,1910,5281,106
2014-04-24,631,138,255,544,670,73,60,42,566,708,449,403,60,1869,6468,561,107,243,634,631,54,103,14,401,546,578,342,67,2226,6507,96
